written by wannier-berri form the chk file
2.130422493000000195e+00 -1.229999999999999982e+00 0.000000000000000000e+00
2.130422493000000195e+00 1.229999999999999982e+00 0.000000000000000000e+00
0.000000000000000000e+00 0.000000000000000000e+00 1.500000000000000000e+01
2
7
1 1   1   1   1   1   1   

   -1    0    0
  1   1  0.0        -0.0
  2   1  0.00000000e+00  0.00000000e+00
  1   2  -2.42           0.00000000e+00
  2   2  0.0         0.0

   -1    1    0
  1   1  0.0         0.0
  2   1  0.00000000e+00  0.00000000e+00
  1   2  0.00000000e+00  0.00000000e+00
  2   2  0.0        -0.0

    0   -1    0
  1   1  0.0         0.0
  2   1  0.00000000e+00  0.00000000e+00
  1   2  -2.42           0.00000000e+00
  2   2  0.0        -0.0

    0    0    0
  1   1  -0.0          0.00000000e+00
  2   1  -2.42           0.00000000e+00
  1   2  -2.42           0.00000000e+00
  2   2  0.0          0.00000000e+00

    0    1    0
  1   1  0.0        -0.0
  2   1  -2.42           0.00000000e+00
  1   2  0.00000000e+00  0.00000000e+00
  2   2  0.0         0.0

    1   -1    0
  1   1  0.0        -0.0
  2   1  0.00000000e+00  0.00000000e+00
  1   2  0.00000000e+00  0.00000000e+00
  2   2  0.0         0.0

    1    0    0
  1   1  0.0         0.0
  2   1  -2.42           0.00000000e+00
  1   2  0.00000000e+00  0.00000000e+00
  2   2  0.0        -0.0

   -1    0    0
    1    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    1    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00

   -1    1    0
    1    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    1    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00

    0   -1    0
    1    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    1    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00

    0    0    0
    1    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    1    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    2    0.14202816E+01  0.00000000E+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00

    0    1    0
    1    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    1    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00

    1   -1    0
    1    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    1    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00

    1    0    0
    1    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    1    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    1    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
    2    2    0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
